Table 4D-21. Absorption Cross Sections of CH3C(O)CH=CH2 at 298 K (1e-20)
                 0 km    5 km    13 km
              2.46E+19 1.50E+19 5.8E+18
                 295     272     220
 123 (f3.0,f6.3,5x,3f8.4)
274 0.0         0.2183  0.3182  0.5667
275 0.929       0.2183  0.3182  0.5667
276 0.998       0.2066  0.3012  0.5364
277 1.08        0.1956  0.2850  0.5077
278 1.15        0.1851  0.2698  0.4805
279 1.24        0.1752  0.2554  0.4548
280 1.33        0.1658  0.2417  0.4305
281 1.41        0.1569  0.2288  0.4074
282 1.50        0.1485  0.2165  0.3856
283 1.60        0.1406  0.2049  0.3650
284 1.70        0.1331  0.1940  0.3455
285 1.81        0.1259  0.1836  0.3270
286 1.91        0.1192  0.1738  0.3095
287 2.03        0.1128  0.1645  0.2929
288 2.15        0.1068  0.1557  0.2772
289 2.29        0.1011  0.1473  0.2624
290 2.43        0.0957  0.1394  0.2484
291 2.55        0.0905  0.1320  0.2351
292 2.67        0.0857  0.1249  0.2225
293 2.81        0.0811  0.1182  0.2106
294 2.93        0.0768  0.1119  0.1993
295 3.08        0.0727  0.1059  0.1886
296 3.24        0.0688  0.1002  0.1786
297 3.39        0.0651  0.0949  0.1690
298 3.56        0.0616  0.0898  0.1600
299 3.70        0.0583  0.0850  0.1514
300 3.87        0.0552  0.0805  0.1433
301 4.05        0.0522  0.0761  0.1356
302 4.20        0.0494  0.0721  0.1284
303 4.35        0.0468  0.0682  0.1215
304 4.51        0.0443  0.0646  0.1150
305 4.66        0.0419  0.0611  0.1088
306 4.82        0.0397  0.0578  0.1030
307 4.96        0.0376  0.0547  0.0975
308 5.13        0.0355  0.0518  0.0923
309 5.30        0.0336  0.0490  0.0873
310 5.44        0.0318  0.0464  0.0827
311 5.58        0.0301  0.0439  0.0782
312 5.73        0.0285  0.0416  0.0741
313 5.87        0.0270  0.0394  0.0701
314 6.02        0.0256  0.0372  0.0663
315 6.14        0.0242  0.0353  0.0628
316 6.28        0.0229  0.0334  0.0594
317 6.42        0.0217  0.0316  0.0563
318 6.54        0.0205  0.0299  0.0532
319 6.63        0.0194  0.0283  0.0504
320 6.70        0.0184  0.0268  0.0477
321 6.76        0.0174  0.0253  0.0451
322 6.83        0.0165  0.0240  0.0427
323 6.85        0.0156  0.0227  0.0404
324 6.88        0.0147  0.0215  0.0383
325 6.95        0.0140  0.0203  0.0362
326 7.02        0.0132  0.0193  0.0343
327 7.09        0.0125  0.0182  0.0325
328 7.16        0.0118  0.0172  0.0307
329 7.23        0.0112  0.0163  0.0291
330 7.28        0.0106  0.0155  0.0275
331 7.30        0.0100  0.0146  0.0260
332 7.26        0.0095  0.0138  0.0247
333 7.18        0.0090  0.0131  0.0233
334 7.04        0.0085  0.0124  0.0221
335 6.94        0.0081  0.0117  0.0209
336 6.85        0.0076  0.0111  0.0198
337 6.70        0.0072  0.0105  0.0187
338 6.56        0.0068  0.0100  0.0177
339 6.47        0.0065  0.0094  0.0168
340 6.44        0.0061  0.0089  0.0159
341 6.42        0.0058  0.0084  0.0150
342 6.35        0.0055  0.0080  0.0142
343 6.35        0.0052  0.0076  0.0135
344 6.30        0.0049  0.0072  0.0127
345 6.23        0.0046  0.0068  0.0121
346 6.14        0.0044  0.0064  0.0114
347 6.08        0.0042  0.0061  0.0108
348 5.77        0.0039  0.0057  0.0102
349 5.47        0.0037  0.0054  0.0097
350 5.20        0.0035  0.0051  0.0092
351 4.94        0.0033  0.0049  0.0087
352 4.72        0.0032  0.0046  0.0082
353 4.53        0.0030  0.0044  0.0078
354 4.32        0.0028  0.0041  0.0074
355 4.15        0.0027  0.0039  0.0070
356 4.03        0.0025  0.0037  0.0066
357 3.94        0.0024  0.0035  0.0062
358 3.89        0.0023  0.0033  0.0059
359 3.89        0.0022  0.0031  0.0056
360 3.68        0.0020  0.0030  0.0053
361 3.60        0.0019  0.0028  0.0050
362 3.49        0.0018  0.0027  0.0047
363 3.36        0.0017  0.0025  0.0045
364 3.29        0.0016  0.0024  0.0042
365 3.03        0.0015  0.0023  0.0040
366 2.77        0.0015  0.0021  0.0038
367 2.50        0.0014  0.0020  0.0036
368 2.20        0.0013  0.0019  0.0034
369 2.01        0.0012  0.0018  0.0032
370 1.88        0.0012  0.0017  0.0030
371 1.74        0.0011  0.0016  0.0029
372 1.58        0.0011  0.0015  0.0027
373 1.48        0.0010  0.0015  0.0026
374 1.39        0.0009  0.0014  0.0024
375 1.31        0.0009  0.0013  0.0023
376 1.26        0.0008  0.0012  0.0022
377 1.24        0.0008  0.0012  0.0021
378 1.21        0.0008  0.0011  0.0020
379 1.21        0.0007  0.0010  0.0019
380 1.05        0.0007  0.0010  0.0018
381 0.981       0.0006  0.0009  0.0017
382 0.912       0.0006  0.0009  0.0016
383 0.878       0.0006  0.0008  0.0015
384 0.929       0.0005  0.0008  0.0014
385 0.757       0.0005  0.0008  0.0013
386 0.637       0.0005  0.0007  0.0013
387 0.534       0.0005  0.0007  0.0012
388 0.448       0.0004  0.0006  0.0011
389 0.396       0.0004  0.0006  0.0011
390 0.344       0.0004  0.0006  0.0010
391 0.310       0.0004  0.0005  0.0010
392 0.293       0.0004  0.0005  0.0009
393 0.275       0.0003  0.0005  0.0009
394 0.241       0.0003  0.0005  0.0008
395 0.207       0.0003  0.0004  0.0008
